lon,lat,elevacion,pendiente,distancia_hospital,distancia_via,poblacion_distrito,crecimiento_distrito,agua,electricidad,alcantarillado,area_m2,patrimonial,industrial_incompatible,cerca_rio,uso_suelo_compatible,iat,apto
-65.27020200220153,-19.020195930601066,2805.5,4.5,2670.6,65.9,116400,0.045,1,1,1,5676.356374971216,0,0,0,1,95.1,1
-65.26521233454804,-19.02720322660069,2800.0,0.0,1894.3,48.5,81668,0.018,1,1,0,13106.825610068501,0,0,0,1,72.4,1
-65.29194226629532,-19.01955626806856,2900.0,0.0,3845.2,340.6,116400,0.045,1,1,0,4245.4322586937615,0,1,0,0.5,0.0,0
-65.24432796037743,-19.063336103655224,2988.9,16.4,1782.3,3.9,40398,0.05,1,1,1,4819.611621060099,0,0,0,1,0.0,0
-65.2418030056535,-19.08313512963833,2933.8,39.7,3800.2,490.4,40398,0.05,1,1,1,13830.927414123453,0,0,0,1,0.0,0
-65.31494873066745,-19.006741240661434,2973.5,13.8,6577.0,331.7,116400,0.045,0,1,0,5517.594354647204,0,0,0,0.8,73.3,1
-65.24562652248719,-19.009735093076447,2893.8,27.5,1805.7,9.5,81668,0.018,0,1,1,16261.976111814525,0,0,0,1,0.0,0
-65.3072574944832,-19.002372329058872,2990.4,31.1,6338.9,486.0,116400,0.045,0,0,0,3421.368152269208,0,0,0,1,0.0,0
-65.2450341166694,-19.009421397508167,2890.9,9.9,1742.0,1.1,81668,0.018,1,1,0,17826.835309403526,0,0,0,1,66.1,1
-65.29063248229563,-19.00883436142919,2900.0,0.0,4720.1,449.5,116400,0.045,0,1,1,19679.544682370422,0,0,1,0.8,0.0,0
-65.25283224893158,-19.061867436505477,2888.3,60.2,1189.7,374.8,40398,0.05,1,1,1,7330.2826043558925,0,1,0,0.8,0.0,0
-65.27059916114152,-19.022916038188022,2802.7,5.0,2503.6,2.4,116400,0.045,1,1,1,14292.04064349163,0,0,0,1,93.6,1
-65.25369547662285,-19.06313178207097,2850.9,2.0,1306.9,498.5,40398,0.05,1,1,1,5163.8925840056045,0,0,0,1,84.1,1
-65.23567585935163,-19.033262027777585,2802.3,24.6,1291.5,36.6,81668,0.018,1,1,1,10308.098549827188,0,0,0,1,0.0,0
-65.24652344875845,-19.075689564147318,2950.0,1.3,2850.9,38.1,40398,0.05,1,1,1,16913.198897123293,0,0,0,1,99.1,1
-65.25008747625633,-19.018335096429837,2896.3,23.2,1477.5,12.6,81668,0.018,1,1,1,11805.281757543595,1,1,0,0.5,0.0,0
-65.27838098599952,-19.01499372915728,2849.8,0.8,3550.1,71.8,116400,0.045,1,0,1,18154.24073877743,0,1,0,0.5,87.5,1
-65.24271324040718,-19.039634040373617,2850.4,2.8,1047.9,36.7,81668,0.018,0,1,1,7203.075537664213,0,0,0,1,67.3,1
-65.3001880431866,-19.024982294402,2938.6,19.6,4116.6,21.5,116400,0.045,1,1,1,10068.161979753651,0,0,0,0.8,0.0,0
-65.26624014924974,-19.02525175929676,2800.0,0.6,2061.4,33.8,81668,0.018,0,1,1,8979.899645421021,0,0,0,1,73.4,1
-65.28205329797325,-19.02009382208676,2878.1,24.8,3188.5,74.0,116400,0.045,1,1,1,10409.211592792823,1,0,0,1,0.0,0
-65.24960250971571,-19.05565899554558,2897.3,16.4,798.7,76.9,40398,0.05,1,1,1,3329.5158798501816,0,0,0,1,0.0,0
-65.25977311464601,-19.017148974090823,2892.0,13.7,2028.5,160.2,81668,0.018,1,1,0,3346.46029444565,0,0,0,1,0.0,0
-65.25504638069035,-19.018575162402932,2872.5,29.5,1621.8,54.0,81668,0.018,1,1,1,16928.119963288445,0,0,1,1,0.0,0
-65.29244584152816,-19.026663421920393,2882.3,4.0,3345.0,767.7,116400,0.045,0,1,1,14740.445070860666,0,0,0,1,83.0,1
-65.24074799724615,-19.03464234268316,2849.7,4.0,820.1,149.8,81668,0.018,1,0,0,10282.426224990657,0,0,0,1,60.2,1
-65.31193185395995,-18.99936362986932,2953.8,1.2,6915.9,527.4,116400,0.045,1,1,1,15474.520168227662,0,0,0,0.8,89.4,1
-65.27093223011956,-19.045434270119866,2759.4,37.8,355.2,76.0,42074,0.032,1,1,1,17122.427321140258,0,0,0,1,0.0,0
-65.27783621747473,-19.03324152720936,2843.5,7.3,1727.2,280.7,116400,0.045,1,1,0,6606.037453055564,0,0,0,1,79.2,1
-65.32112465980978,-19.000463176176936,2962.5,40.1,7523.9,100.1,116400,0.045,1,1,1,14740.358770590892,0,0,0,1,0.0,0
-65.26677095335434,-19.04646266709871,2791.1,4.1,108.4,21.4,42074,0.032,1,1,1,14948.534017158072,0,0,0,1,75.9,1
-65.27079270662922,-19.018831783313075,2807.5,14.4,2798.3,94.9,116400,0.045,1,1,1,19602.319389011966,0,0,1,1,0.0,0
-65.27159268318375,-19.065395194463875,2718.5,14.9,2202.7,99.4,42074,0.032,0,1,1,17763.84035347005,0,0,0,1,71.3,1
-65.27760630558791,-19.049459557745063,2751.7,6.7,1127.1,36.4,42074,0.032,1,1,0,16975.965970090314,0,0,0,0.8,70.3,1
-65.24900100093119,-19.03397819503134,2849.9,0.8,302.1,24.6,81668,0.018,1,1,1,10526.257068328581,0,0,0,0.8,67.0,1
-65.26279626752431,-19.033493355575022,2799.7,1.3,1255.6,10.9,81668,0.018,1,1,1,14227.278332264623,0,0,1,1,0.0,0
-65.30015029183204,-19.023741217415083,2929.8,28.1,4190.1,1.1,116400,0.045,1,1,1,16393.076452994435,0,0,0,1,0.0,0
-65.25053879030779,-19.037502107353994,2842.8,4.7,724.5,41.7,81668,0.018,1,1,1,19025.496092648693,0,0,1,0.8,0.0,0
-65.31329751698026,-18.99923929900881,2952.5,6.3,7024.1,483.1,116400,0.045,1,1,0,14428.786933155066,0,1,0,0.5,0.0,0
-65.2772252972071,-19.029318207378292,2846.2,6.7,2049.0,126.3,116400,0.045,0,1,1,11359.338637247227,0,0,0,0.8,81.9,1
-65.29070740347487,-19.025126475929945,2867.4,14.2,3315.4,729.7,116400,0.045,1,1,0,10732.040446229401,0,0,0,0.8,72.3,1
-65.27059808859215,-19.05214449522212,2791.0,14.2,763.5,186.6,16206,0.005,1,1,0,15919.83911303729,1,0,0,0.8,0.0,0
-65.28028033781389,-19.024818636372892,2851.2,7.9,2641.6,26.7,116400,0.045,1,0,1,5692.428784688951,0,0,1,1,0.0,0
-65.24262525511722,-19.04436015368346,2850.8,3.8,1524.6,35.0,81668,0.018,1,1,1,19664.158754257383,0,0,0,1,75.1,1
-65.2957338920767,-19.01586819664873,2900.0,0.0,4416.0,229.7,116400,0.045,1,1,1,7808.262715808053,0,0,0,1,95.6,1
-65.27107279424737,-19.05864178132247,2748.5,11.9,1460.9,26.6,42074,0.032,1,1,1,6207.0903530207925,0,0,0,1,74.6,1
-65.25077302218561,-19.024514435224354,2850.5,4.2,834.4,66.8,81668,0.018,1,1,1,19673.908357216347,0,1,0,1,0.0,0
-65.23865351730143,-19.049951811928455,2850.0,0.2,1813.5,105.9,40398,0.05,1,1,1,14131.282549271475,0,0,0,0.8,90.8,1
-65.28986607890154,-19.025229415976558,2856.5,12.7,3242.8,666.4,116400,0.045,1,1,0,9460.159757885136,0,0,0,1,76.5,1
-65.23934602601244,-19.088549011309382,2900.0,0.3,4453.0,768.3,40398,0.05,1,1,0,15695.028234544758,0,1,0,0.5,80.5,1
-65.23880423947865,-19.04962805118989,2849.7,2.7,1801.5,134.7,40398,0.05,1,1,1,7987.252191408549,0,0,0,1,92.3,1
-65.26786093799106,-19.015972467938003,2846.2,14.5,2723.8,181.1,81668,0.018,1,1,0,7094.106461557321,0,0,0,0.8,64.7,1
-65.26131246451077,-19.051202614621577,2799.6,2.2,581.3,159.9,16206,0.005,1,1,1,11214.537038006674,1,0,0,0.8,0.0,0
-65.25638980245952,-19.02068080531538,2850.6,3.2,1501.1,51.0,81668,0.018,1,1,1,7865.300574806306,0,0,0,1,75.0,1
-65.26128159571289,-19.03243699262736,2800.0,0.0,1367.2,186.9,81668,0.018,1,1,1,13680.217762677272,0,0,0,1,73.0,1
-65.28017450799892,-19.036148827169956,2842.5,12.1,1680.2,477.9,116400,0.045,1,1,1,5985.881197553213,0,0,0,1,76.8,1
-65.24309586902153,-19.067399514661926,2982.6,52.0,2211.0,23.5,40398,0.05,1,1,0,8758.159314632067,0,0,0,1,0.0,0
-65.25239108446753,-18.998269913852468,2870.7,60.9,2781.2,144.2,81668,0.018,0,1,1,3236.61713671532,0,0,0,1,0.0,0
-65.25789124788784,-19.035946702361958,2800.6,1.2,1054.7,43.5,81668,0.018,1,1,1,3425.4190439901995,0,0,0,1,0.0,0
-65.30865738316268,-19.000791183827054,2994.4,31.1,6567.7,516.0,116400,0.045,1,1,1,5306.28882800772,0,0,0,1,0.0,0
-65.23177274062903,-19.05205701924102,2813.7,46.2,2530.6,104.4,40398,0.05,1,1,1,11318.899642423446,0,0,1,1,0.0,0
-65.26968573900025,-18.998258903228777,2887.1,14.7,4342.8,35.3,81668,0.018,1,1,1,17416.564203882575,0,0,0,1,74.3,1
-65.30796945473956,-19.005165168742533,2953.3,3.8,6161.9,324.2,116400,0.045,1,1,1,7261.121344378105,0,0,1,1,0.0,0
-65.25129091450498,-19.041609397827774,2839.9,8.7,1144.9,81.0,81668,0.018,1,1,0,4853.9181700653735,0,0,1,0.8,0.0,0
-65.272574377975,-19.047844005055254,2750.0,0.3,568.5,28.0,42074,0.032,0,1,1,14663.657433057955,0,0,1,0.8,0.0,0
-65.26171609699104,-19.039355934734715,2798.4,2.0,600.6,13.2,81668,0.018,1,0,1,13292.255456100318,0,0,0,0.8,62.6,1
-65.25971461846196,-19.018321034064765,2866.3,22.4,1924.5,60.8,81668,0.018,1,1,1,8761.837520197978,0,0,1,1,0.0,0
-65.28141575880424,-19.02796838054093,2891.0,12.5,2419.1,13.9,116400,0.045,1,1,0,17140.12210407253,0,0,0,1,81.3,1
-65.24451134331812,-19.038800872375717,2850.0,0.0,879.4,12.1,81668,0.018,1,1,1,9011.16735377405,0,0,0,1,71.3,1
-65.25270952869315,-18.999368013565633,2861.8,47.2,2762.5,29.4,81668,0.018,1,1,1,14164.517150798585,0,0,0,1,0.0,0
-65.28698460345167,-19.01859235298993,2896.4,0.7,3603.9,4.6,116400,0.045,1,1,0,16913.256612191384,0,1,1,0.5,0.0,0
-65.255325666477,-19.062284923440785,2801.0,11.9,1195.2,431.9,40398,0.05,1,1,0,9813.333847991766,0,0,1,0.8,0.0,0
-65.2825058247056,-19.058904243672533,2843.8,10.9,2132.9,272.1,42074,0.032,1,1,0,4444.269679612048,1,0,0,0.8,0.0,0
-65.2581382343428,-19.065771292118093,2849.5,3.8,1599.3,101.0,42074,0.032,1,1,1,15834.0334423623,0,0,0,1,82.6,1
-65.25742631864438,-19.045300682343466,2800.0,0.2,447.4,24.7,16206,0.005,1,1,1,3130.6804602980087,1,0,0,0.8,0.0,0
-65.25498526537037,-19.04402942326366,2806.7,10.6,705.6,1.1,16206,0.005,1,1,1,3719.1384465674537,1,0,0,1,0.0,0
-65.26719890044332,-19.03689802023599,2767.3,12.5,934.1,11.8,116400,0.045,1,1,1,8521.059050573735,0,0,0,1,77.4,1
-65.23471799176735,-19.083619148368403,2914.7,17.6,4192.2,89.7,40398,0.05,1,1,1,9728.033846608661,0,0,0,0.8,0.0,0
-65.23571621225854,-19.058667926760368,2900.5,7.3,2258.6,25.7,40398,0.05,1,1,0,5489.551710720804,0,0,0,1,87.5,1
-65.2483365227473,-19.04469718640167,2850.0,0.0,1088.5,21.7,81668,0.018,1,1,1,12596.360317847588,0,0,0,1,72.5,1
-65.27395237940534,-19.047381309634417,2761.8,12.5,690.5,80.0,42074,0.032,1,1,0,16766.87060086551,0,0,0,0.8,62.4,1
-65.31220914652891,-19.005246233832235,2952.8,4.7,6472.8,74.5,116400,0.045,1,1,1,7211.643301170832,0,0,0,1,96.9,1
-65.24656368491291,-19.030095091465686,2857.7,10.1,202.8,10.1,81668,0.018,1,1,1,15303.47213504185,0,0,0,1,63.5,1
-65.23267986671542,-19.062503489385087,2886.7,48.3,2722.1,109.3,40398,0.05,1,1,0,17092.3025392059,0,0,0,0.8,0.0,0
-65.26063173466696,-19.05129711764626,2800.0,0.1,509.2,222.2,16206,0.005,1,1,1,19110.360548083896,1,0,0,1,0.0,0
-65.24527577851408,-19.07610114846361,2937.6,30.9,2940.7,68.8,40398,0.05,1,1,1,10551.378066689686,0,0,0,1,0.0,0
-65.2449261484665,-19.04713493845631,2850.0,0.0,1242.8,111.2,81668,0.018,1,1,0,10848.559633496816,0,1,0,0.5,63.3,1
-65.23851433384553,-19.039048387882332,2879.0,14.0,1286.3,38.9,81668,0.018,1,1,0,15972.986114958745,0,0,0,1,59.7,1
-65.28001921848528,-19.0011320489645,2865.7,8.8,4777.0,519.7,116400,0.045,1,1,1,3905.367081908266,0,0,0,1,0.0,0
-65.2597776666731,-19.0161802131804,2898.2,15.8,2113.9,240.6,81668,0.018,1,1,0,5359.475760909166,0,0,1,0.8,0.0,0
-65.24228924124841,-19.039550192291802,2850.1,1.7,1063.6,2.1,81668,0.018,1,1,1,8119.57030796574,1,0,0,1,0.0,0
-65.23547456284295,-19.03505686114217,2850.5,13.5,1356.3,46.0,81668,0.018,1,1,1,10297.061182756674,0,0,0,1,65.5,1
-65.2294614348242,-19.08563509874949,2899.6,2.4,4687.7,215.2,40398,0.05,1,1,0,9637.71345352109,0,0,0,0.8,91.4,1
-65.24702041017382,-19.058967076924404,2900.1,6.5,1240.2,47.2,40398,0.05,1,1,0,8652.816342323742,1,0,0,1,0.0,0
-65.30548032208111,-19.016783879233518,2948.1,1.5,5100.2,186.2,116400,0.045,1,1,1,4072.7091295478185,0,0,0,1,0.0,0
-65.31808937444211,-19.00190369372418,2980.5,38.0,7179.0,12.7,116400,0.045,1,0,1,15805.945619920703,0,0,0,1,0.0,0
-65.23679411131137,-19.02104903643488,2839.8,17.0,1597.4,240.9,81668,0.018,0,1,0,11457.897672391664,0,0,0,0.8,0.0,0
-65.26430831449777,-19.013169203960675,2889.7,12.9,2672.4,161.7,81668,0.018,1,1,1,8210.429553542792,0,0,0,0.8,71.1,1
-65.28734321416462,-19.014913618577,2900.0,0.0,3965.2,22.3,116400,0.045,1,0,1,16282.303485638931,1,0,0,0.8,0.0,0
-65.26797708905853,-19.03386281006139,2758.9,21.3,1270.8,55.9,116400,0.045,1,1,1,12756.670231676226,0,0,0,1,0.0,0
-65.25190724436001,-19.044183316052305,2849.0,3.6,907.9,68.2,81668,0.018,1,1,1,10586.642910895476,0,0,0,1,71.4,1
-65.240694353659,-19.048806647446725,2850.2,1.4,1618.2,54.5,40398,0.05,0,1,1,17373.86072256989,0,0,1,0.8,0.0,0
-65.2405025328025,-19.024011036978308,2845.1,39.0,1130.5,171.3,81668,0.018,0,1,0,5063.161736333767,0,0,0,0.8,0.0,0
-65.28680109973044,-19.01467540096798,2900.0,6.7,3957.9,85.1,116400,0.045,1,1,1,19993.115746884578,0,0,0,1,95.0,1
-65.279163019669,-19.026564179767863,2850.0,0.3,2415.3,13.6,116400,0.045,1,1,0,6093.373321386335,0,0,0,0.8,87.0,1
-65.29137414814748,-19.02362345090112,2891.7,11.5,3480.4,686.3,116400,0.045,1,1,0,7260.290252693984,0,0,0,1,77.3,1
-65.25902496614951,-19.022943124354033,2832.6,13.1,1514.9,11.7,81668,0.018,1,1,1,3482.3492942809194,1,0,0,1,0.0,0
-65.2596966810577,-19.01851253266737,2863.1,19.2,1907.2,44.9,81668,0.018,1,1,1,7924.418165627299,0,0,0,0.8,0.0,0
-65.28041596073636,-19.04524537954649,2844.9,42.5,1352.3,364.0,116400,0.045,1,1,1,15481.395831677295,0,0,0,1,0.0,0
-65.298326695128,-19.00864772861631,2900.0,0.0,5201.6,276.5,116400,0.045,1,1,1,15973.063377356686,0,0,0,1,95.0,1
-65.25977826776013,-19.046803660664416,2800.1,0.4,297.7,29.0,16206,0.005,1,1,1,15367.637077109663,1,0,0,1,0.0,0
-65.27383089730192,-19.018583018691494,2813.9,15.1,3036.4,36.6,116400,0.045,1,0,1,19576.407862034328,0,0,0,1,0.0,0
-65.27716646412476,-19.047888003110106,2765.2,10.9,1032.8,39.4,42074,0.032,1,1,1,5762.53477990797,0,0,0,0.8,70.9,1
-65.28989926361878,-19.01228607702565,2900.0,0.0,4355.0,87.8,116400,0.045,1,1,1,9262.082767718082,0,0,0,1,97.5,1
-65.26682674613915,-19.02277429984477,2801.2,10.3,2224.4,13.6,81668,0.018,1,1,1,17299.84112429049,0,0,1,0.8,0.0,0
-65.23195322395921,-19.081574861995083,2870.3,28.6,4170.4,228.5,40398,0.05,1,1,1,9976.415958485986,0,0,0,0.8,0.0,0
-65.27237458863479,-19.06162047351928,2704.6,18.3,1815.3,17.6,42074,0.032,1,1,1,16123.826330528593,0,0,0,0.8,0.0,0
-65.25774380802739,-19.05550530784915,2823.5,17.5,488.4,218.8,40398,0.05,0,1,0,7937.695083879905,0,0,0,1,0.0,0
-65.26334056650596,-19.035663241040243,2799.5,2.1,1025.2,182.2,116400,0.045,1,1,1,3892.3488162708672,0,0,1,0.8,0.0,0
-65.2691825420589,-19.00291813294844,2900.0,1.3,3884.1,142.5,81668,0.018,1,1,0,6390.751569349229,0,0,0,0.8,76.4,1
-65.23585519740996,-19.083478305639503,2916.4,15.3,4116.6,114.7,40398,0.05,1,1,1,18524.905336387492,0,1,0,0.5,0.0,0
-65.29467327516862,-18.996875948907586,2904.9,6.4,6082.1,310.2,116400,0.045,1,1,0,10956.353073106931,0,0,0,1,87.4,1
-65.24651754566206,-19.037687198801343,2850.0,0.0,698.3,33.9,81668,0.018,1,1,0,17058.827029697262,0,0,0,1,65.2,1
-65.29334942061786,-19.02230541944728,2900.0,0.0,3731.8,513.2,116400,0.045,1,1,1,5009.822412667534,0,0,0,1,91.6,1
-65.23630302345039,-19.024849691483748,2836.9,55.1,1417.0,269.3,81668,0.018,1,1,0,13448.632618445434,0,0,0,1,0.0,0
-65.25060946119557,-19.034013839997773,2844.9,9.5,406.2,107.9,81668,0.018,1,1,1,14289.605468774285,0,0,0,0.8,61.9,1
-65.23921462820222,-19.084162101616084,2903.9,1.6,4016.0,342.2,40398,0.05,1,1,1,4049.886808463624,0,0,0,0.8,0.0,0
-65.2449395954588,-19.048622390248397,2850.0,0.0,1187.1,6.2,40398,0.05,1,1,1,16717.560993424675,0,0,0,0.8,87.1,1
-65.25083048922187,-19.036629445183028,2843.5,4.5,651.5,30.8,81668,0.018,1,1,1,18887.90758104409,1,1,1,0.5,0.0,0
-65.28300227981188,-19.018033861906634,2893.4,17.1,3436.6,26.3,116400,0.045,1,0,1,19878.56217587494,0,0,0,0.8,0.0,0
-65.25896466537421,-19.04025414160396,2800.1,0.1,574.9,267.8,81668,0.018,1,1,1,11990.323172248158,0,0,1,0.8,0.0,0
-65.25783149988388,-19.039776849242653,2800.0,0.2,683.9,223.5,81668,0.018,1,1,1,7686.045372517165,0,0,1,1,0.0,0
-65.24490786090915,-19.051886788169682,2910.3,61.7,1147.6,185.2,40398,0.05,1,1,1,4715.24412257262,1,0,0,1,0.0,0
-65.30131115889586,-19.0087611597936,2900.0,0.0,5394.1,88.6,116400,0.045,1,1,1,15435.797212972311,0,0,0,1,97.5,1
-65.31623662426958,-19.000480781723756,2982.0,10.9,7144.0,233.4,116400,0.045,0,1,1,11425.553387381357,0,0,0,0.8,82.3,1
-65.28613911363149,-19.019384591474324,2898.9,2.1,3481.1,21.4,116400,0.045,1,1,1,16698.19471889308,0,0,0,1,97.5,1
-65.26954689727486,-19.078805741987445,2712.6,13.3,3352.0,5.6,42074,0.032,1,1,1,17401.2675606334,0,0,0,1,82.5,1
-65.25292425796883,-19.03846166792,2821.1,10.7,940.9,122.6,81668,0.018,1,1,1,3260.673005884378,0,1,1,0.5,0.0,0
-65.30247079637604,-19.003840462688686,2949.0,6.1,5889.9,398.7,116400,0.045,1,1,1,9107.412444376787,0,0,0,0.8,89.3,1
-65.27707772271131,-19.011352254649513,2848.4,3.9,3805.7,154.6,116400,0.045,0,1,1,6761.659671375829,0,0,0,0.8,89.7,1
-65.26707532825637,-19.051774424911432,2800.0,0.0,656.0,48.6,42074,0.032,1,1,1,11488.125200278482,0,0,0,1,76.9,1
-65.2609615480199,-19.04487910678479,2798.3,12.0,72.3,128.5,16206,0.005,1,1,1,11301.377461320251,1,0,0,1,0.0,0
-65.25805623493255,-19.018782713136634,2850.8,4.3,1774.6,62.1,81668,0.018,1,1,1,3155.40484874125,0,0,0,1,0.0,0
-65.25838749248285,-19.032889751439296,2800.0,0.0,1125.5,219.1,81668,0.018,1,1,1,3201.4664581741713,0,0,0,0.8,0.0,0
-65.25744261449941,-19.014797155896858,2858.5,12.5,2109.9,243.3,81668,0.018,0,1,1,6262.844968857424,0,0,0,1,63.9,1
-65.28467098435733,-19.055807862100842,2847.7,4.3,2108.4,9.7,42074,0.032,1,1,0,14628.707632996553,0,0,0,1,80.4,1
-65.28057287202405,-19.016593366630076,2851.1,4.3,3468.2,243.5,116400,0.045,1,1,1,3723.3798794897666,0,0,0,0.8,0.0,0
-65.31497879500304,-19.00268592474751,2965.7,10.5,6879.5,62.5,116400,0.045,0,1,1,8346.239784853067,0,0,0,1,86.6,1
-65.25424685127354,-19.053772316163435,2850.8,3.4,300.1,93.8,16206,0.005,1,1,1,9615.662325245099,1,0,0,1,0.0,0
-65.25301268223545,-19.044002871990088,2838.4,15.3,880.5,100.2,16206,0.005,0,1,1,8790.076690076801,1,0,0,1,0.0,0
-65.27567587814461,-19.05756483207193,2702.2,9.6,1549.7,112.4,42074,0.032,0,1,1,4456.799999824508,0,0,0,0.8,0.0,0
-65.25404267585682,-19.031283570652636,2801.1,4.0,657.8,63.2,81668,0.018,1,1,1,8240.546737317067,0,0,0,1,69.9,1
-65.26943599705945,-19.052655514640872,2792.2,9.8,776.1,157.3,16206,0.005,1,1,1,8515.315619731016,1,0,0,0.8,0.0,0
-65.31401528097275,-19.005031837996388,2967.1,11.0,6628.5,127.4,116400,0.045,0,0,1,9472.444399308633,0,0,0,1,80.8,1
-65.26262528637366,-19.01493340419833,2880.9,10.6,2408.8,76.6,81668,0.018,1,1,0,19561.831400578318,0,0,0,1,69.4,1
-65.29439601334607,-19.0249581139709,2900.0,0.0,3623.2,584.5,116400,0.045,1,1,1,16880.406762359522,0,0,0,0.8,88.6,1
-65.26565030869213,-19.039568044397658,2777.8,10.6,666.2,19.8,116400,0.045,1,1,0,15042.239871353078,0,0,0,0.8,70.5,1
-65.2590386553927,-19.023458103784687,2826.8,14.5,1481.1,21.5,81668,0.018,1,1,0,9813.68665459935,0,0,0,0.8,58.3,1
-65.27000708451608,-19.016117807805784,2801.6,8.0,2893.1,9.2,116400,0.045,1,1,1,4444.692878866792,0,0,0,0.8,0.0,0
-65.2839133841777,-19.019577582529088,2895.1,8.8,3336.0,0.6,116400,0.045,0,1,1,11681.49608892576,0,0,0,1,88.1,1
-65.27994340442031,-19.05414018995838,2799.0,4.5,1590.7,85.8,42074,0.032,1,1,1,3417.5651014380783,0,0,0,1,0.0,0
-65.31094537013703,-19.00129577726226,2954.5,4.0,6688.5,372.4,116400,0.045,1,1,1,11209.741979249604,0,0,0,1,93.6,1
-65.26823097616463,-19.000126784131176,2900.0,1.1,4086.2,57.5,81668,0.018,1,1,1,10346.285691297802,1,0,0,0.8,0.0,0
-65.26585580598065,-19.054533174667405,2771.8,29.7,976.5,51.0,42074,0.032,1,1,0,4063.5837749757943,0,0,0,1,0.0,0
-65.29697535822658,-19.008919494929174,2900.0,0.0,5090.0,394.2,116400,0.045,1,1,1,12979.080147608705,0,0,0,0.8,91.3,1
-65.24412998946546,-19.02452266503621,2857.7,44.2,863.8,130.3,81668,0.018,1,1,1,5003.648095248164,0,0,0,1,0.0,0
-65.27364869300202,-19.051630429059884,2763.5,52.3,902.1,139.8,42074,0.032,1,1,1,14788.35975099904,0,0,0,0.8,0.0,0
-65.27406725325417,-19.044300507081868,2750.6,5.4,703.8,73.7,116400,0.045,1,1,0,4405.400638369937,1,0,0,0.8,0.0,0
-65.25090540683452,-19.01871907077424,2894.8,4.7,1452.5,97.8,81668,0.018,1,1,1,16995.80773595863,0,0,1,1,0.0,0
-65.25345274705107,-19.03964822212843,2812.6,10.0,1032.5,12.0,81668,0.018,0,1,0,8061.051896749192,0,0,0,1,56.7,1
-65.24418468450556,-19.050002638688703,2860.4,22.7,1234.2,12.0,40398,0.05,0,1,1,12994.70624860578,0,0,0,1,0.0,0
-65.29128553116716,-19.02412842294741,2885.5,13.8,3435.2,709.1,116400,0.045,1,1,0,14548.08837069627,0,1,0,0.5,69.9,1
-65.23974276245775,-19.07985818215698,2949.0,4.2,3566.1,165.1,40398,0.05,0,1,1,15945.050987157569,0,0,0,1,93.9,1
-65.27902946079611,-19.031002949669524,2861.7,13.2,1999.6,76.5,116400,0.045,0,1,1,18917.71393950578,0,0,0,1,78.2,1
-65.251892725464,-19.022047027968753,2875.7,39.8,1131.9,97.4,81668,0.018,1,1,1,12085.215894588602,0,0,0,1,0.0,0
